阅读量,评价数,标题,情感,详情页,作者,最后更新,影响力,文章内容,评价
869,1,套人开始了。套死你们这帮小韭菜,负,"http://guba.eastmoney.com/news,000001,892376872.html",三十年小韭菜,2020/12/17 14:17,2,,说的跟你不是韭菜一样
723,0,这种辣鸡，它要是能涨，平安都能倒闭。,负,"http://guba.eastmoney.com/news,000001,892309837.html",别虾扯蛋,2020/12/17 11:40,2,,
679,0,这。。,负,"http://guba.eastmoney.com/news,000001,892303402.html",垄断才好玩,2020/12/17 11:23,25,,
1123,1,去你妈的，傻逼股,负,"http://guba.eastmoney.com/news,000001,892098511.html",别虾扯蛋,2020/12/17 11:19,2,,可惜了，出门前16.07时填了个16.2卖出的单，下了个楼回来就16.34了。-----
1112,0,走人了，留下的发财吧,负,"http://guba.eastmoney.com/news,000001,892140392.html",股友hwPV4I,2020/12/16 15:35,2,,
1012,0,走了，珍惜好行情，去找活跃股。,负,"http://guba.eastmoney.com/news,000001,892129516.html",健盘下的正义,2020/12/16 14:56,2,,
983,0,卖了去尼玛的大盘涨你也不涨,负,"http://guba.eastmoney.com/news,000001,892087652.html",股友wWCD1E7260,2020/12/16 13:42,25,,
1107,1,上方压力大的么，谁在砸盘？,负,"http://guba.eastmoney.com/news,000001,892080102.html",通吃小韭菜,2020/12/16 13:27,15,,郭家对-----
856,1,国家队压指数,负,"http://guba.eastmoney.com/news,000001,892065357.html",慈善股圣,2020/12/16 12:33,15,,拉指数而已，
801,0,有憨批在故意压价[买入],负,"http://guba.eastmoney.com/news,000001,892045403.html",Xyhmrn,2020/12/16 11:15,2,,
757,0,完蛋了这狗东西,负,"http://guba.eastmoney.com/news,000001,892040734.html",旭日东升之晟哥,2020/12/16 11:04,1,,
715,0,春节前不恋战了，节后看看,负,"http://guba.eastmoney.com/news,000001,892033179.html",風雾霾,2020/12/16 10:49,25,,
733,0,垫底的,负,"http://guba.eastmoney.com/news,000001,892030081.html",期盼幸运降临,2020/12/16 10:42,2,,
747,0,怎么又跌了,负,"http://guba.eastmoney.com/news,000001,892029598.html",股友noIin6,2020/12/16 10:41,1,,
1123,3,不给机会是不是，上来就套我,负,"http://guba.eastmoney.com/news,000001,891996136.html",熊猫克星,2020/12/16 9:45,15,,持股待涨-----近期不要碰银行观望为主已经持续跌一个多月了现在虽然较为便宜但是风险偏大短线客建议不要碰-----放心吧，你想的大跌，回撤20%不会出现的
2504,7,破了16我卖了。留下三分之一。,负,"http://guba.eastmoney.com/news,000001,891751405.html",把你推倒,2020/12/13 15:16,35,,----------操作的很保守呀-----就要打你们那些喊破16就起飞人的脸。-----操作的很保守呀-----不是保守，就看不惯那些乱喊的。凭什么破16就起飞。只光看整数位，时间空间时局全都不看。一两个就算了，全都乱喊乱闹，让人不快。-----不是保守，就看不惯那些乱喊的。凭什么破16就起飞。只光看整数位，时间空间时局全都不看。一两个就算了，全都乱喊乱闹，让人不快。-----股吧里是太多人乱喊，我不看这些我就做波段。到17下车。我15.5买入的。-----咱两的操作手法一样，我卖了一半，下周一应该还有看点-----下周一继续高开看你们怎么上车。
1924,0,平安这是偷偷告诉要快点闪闪闪吗？[赚大了][亏大了],负,"http://guba.eastmoney.com/news,000001,891799095.html",长颈鹿么么哒,2020/12/13 15:14,1,,
1201,2,看来16破不了了[大笑],正,"http://guba.eastmoney.com/news,000001,891719223.html",玉龙腾飞之,2020/12/13 13:39,15,,一定会。----------想多了，今天那缺口没补
928,0,扶不起的阿斗,负,"http://guba.eastmoney.com/news,000001,891703455.html",别虾扯蛋,2020/12/13 11:42,2,,
1172,0,明天又要新低了这货,负,"http://guba.eastmoney.com/news,000001,891546704.html",优质上升主流股,2020/12/12 17:44,2,,
1052,0,明天低开,负,"http://guba.eastmoney.com/news,000001,891530896.html",股友AVgSZK,2020/12/12 16:11,35,,
1229,1,牛逼啊。这样都可以平安不平安啊,负,"http://guba.eastmoney.com/news,000001,891427685.html",救生导师韦,2020/12/12 11:18,15,,熊大熊二见底，年内资金太紧，北上资金拉升妖股出货。不跑后果很严重！
1058,0,真他妹的无语,负,"http://guba.eastmoney.com/news,000001,891427791.html",溜溜呦呦,2020/12/12 11:17,2,,
1066,0,好，平安带头砸盘,负,"http://guba.eastmoney.com/news,000001,891416928.html",漫步得者,2020/12/12 10:56,25,,
